,barrio_original,barrio_sin_est,nom_match,lat,lon
2051,JUAN JOSE RONDON SECTOR LA CASONA E-19,JUAN JOSE RONDON SECTOR LA CASONA ,JUAN JOSE RONDON,,
2052,JUAN JOSÉ RONDON E-19,JUAN JOSÉ RONDON ,JUAN JOSE RONDON,,
2053,JUAN JOSÉ RONDON E-5,JUAN JOSÉ RONDON,JUAN JOSE RONDON,,
2054,JUAN JOSÉ RONDON II E-5,JUAN JOSÉ RONDON II,JUAN JOSE RONDON I,,
2055,JUAN JOSÉ RONDON SECTOR LA CASONA E-19,JUAN JOSÉ RONDON SECTOR LA CASONA ,JUAN JOSE RONDON,,
2056,JUAN PABLO I,JUAN PABLO I,JUAN PABLO II,,
2057,JUAN PABLO I E-8,JUAN PABLO I,JUAN PABLO II,,
2058,JUAN PABLO II E-19,JUAN PABLO II ,JUAN PABLO II,,
2059,JUAN REY E-4,JUAN REY,JUAN REY SUR,,
2060,JUAN REY E-5,JUAN REY,JUAN REY SUR,,
2061,JUAN XXIII E-12,JUAN XXIII ,JUAN XXIII,,
2062,JUAN XXIII E-2,JUAN XXIII,JUAN XXIII,,
2063,JULIO FLOREZ E-11,JULIO FLOREZ ,JULIO FLOREZ,,
2064,JUNCA Y MONTECITOS E-10,JUNCA Y MONTECITOS ,,,
2065,JUNCA Y MONTECITOS E-9,JUNCA Y MONTECITOS,,,
2066,KALIMA E-1,KALIMA,FATIMA,,
2067,KASANDRA E-9,KASANDRA,KASANDRA,,
2068,KENNEDY,KENNEDY,CIUDAD KENNEDY SUR,,
2069,LA ABADIA E-9,LA ABADIA,LA CABANA,,
2070,LA ACACIA E-19,LA ACACIA ,LAS ACACIAS,,
2071,LA AGUADITA E-11,LA AGUADITA ,LA FRAGUITA,,
2072,LA AGUADITA II E-11,LA AGUADITA II ,LA FRAGUITA,,
2073,LA ALAMEDA DEL SUR E-19,LA ALAMEDA DEL SUR ,LA ALAMEDA,,
2074,LA ALAMEDA E-1,LA ALAMEDA,LA ALAMEDA,,
2075,LA ALAMEDA E-11,LA ALAMEDA ,LA ALAMEDA,,
2076,LA ALAMEDA E-19,LA ALAMEDA ,LA ALAMEDA,,
2077,LA ALAMEDA E-3,LA ALAMEDA,LA ALAMEDA,,
2078,LA ALAMEDA E-9,LA ALAMEDA,LA ALAMEDA,,
2079,LA ALAMEDA II SECTOR E-19,LA ALAMEDA II SECTOR ,LA ALAMEDA,,
2080,LA ALBORADA E-11,LA ALBORADA ,LA ALAMEDA,,
2081,LA ALDEA E-9,LA ALDEA,LA ALAMEDA,,
2082,LA ALDEA I E-9,LA ALDEA I,LA ANDREA,,
2083,LA ALEJANDRA E-1,LA ALEJANDRA,LA ALAMEDA,,
2084,LA ALEMANA E-4,LA ALEMANA,LA ALAMEDA,,
2085,LA ALMERIA E-10,LA ALMERIA ,LA CAMELIA,,
2086,LA ALMERIA E-11,LA ALMERIA ,LA CAMELIA,,
2087,LA ALMERÍA E-10,LA ALMERÍA ,LA ALAMEDA,,
2088,LA ALMERÍA E-11,LA ALMERÍA ,LA ALAMEDA,,
2089,LA ALQUERIA E-16,LA ALQUERIA ,LA LIBERIA,,
2090,LA AMERICA E-10,LA AMERICA ,LAS AMERICAS,,
